FAM111B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LOC283177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC728613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WARS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AZGP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IFI35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RGL1	842.771910707525	973.776896468484	942.032007999132	513.433192137256	875.793260958259	910.484156935329	721.676798691611	495.043550825932	954.023057907759	883.249966358166	745.254301164648	741.892984586247	960.25896749519	899.361988970316	758.622090592058	917.99046495863	884.030136940337	985.421347735535	501.650280477155	638.841238485535	597.583012252724	588.181323417284	507.378627469492	654.173090515514	531.463692537623	523.70878661899	610.650626663171	833.370221872086	677.630335124087	604.010466529709	490.47656352841	482.529470192646	638.061067903364	463.84071430865	719.950778892964	668.234579206307	837.55491371746	791.38752491756	768.897685073792	529.651679842143	703.985253345369	961.688232433457	491.430523426198	630.604362503458	546.198626462758	665.640273027048	572.28773151495	635.624089162962	613.137102871861	817.476629969751	855.839525117973	858.326001326663	968.7527047475	496.704086131445	774.840578296945	880.812987617764
SLC19A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFAP5	860.915595365389	1421.86708788836	1383.09292887002	907.934197940552	1304.99613485747	1291.74873273248	1203.38755605402	603.898504950686	1443.64609917772	1275.16654861269	1179.08832052683	1354.9644805334	1350.04523615914	413.634546062974	661.358853563317	1217.70620000006	1403.55865665965	1496.3801798825	761.879727239197	1149.01128365008	628.688550037902	1186.15131333454	424.091748294827	1348.73047130745	654.265986517734	696.920181766357	659.723612807278	569.116480276066	589.579861004645	547.065429092917	535.203588600706	677.94103768311	484.799179818086	565.780525778767	526.797870953736	438.393078209461	513.509351164541	943.001729019109	1273.53130785665	617.771896770047	492.049332208951	1641.24993616172	439.276732192408	1268.07368156711	565.280625477457	765.915317630513	745.379978489925	1016.00336786307	847.700019966625	1310.72787681573	1242.49624508728	1231.57959181942	1182.92417532544	572.343618285166	691.188439808098	1179.58822082814
CD69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C3AR1	756.148270430246	775.681844116449	795.604142550219	681.704545692529	721.539587529667	724.258195963745	829.296932495112	480.524267127132	872.404246245758	565.197525816017	476.232750738529	702.308498913235	700.539863565531	628.01895635756	406.246885376951	834.086242269561	833.274345460554	852.307304868366	441.842928666479	629.448454274115	479.642265960666	453.701478994689	505.02247431331	720.700677676204	386.312802976754	428.610207991419	494.624929501498	530.072522255541	450.950474521772	412.926816017382	641.606662227105	495.463839354961	731.254912287998	403.37270609941	645.844086875544	705.718014135372	632.322633551656	731.098222488016	699.212032403612	473.136284228906	679.777227169395	903.101970871183	511.733693161133	474.464115390825	547.18812784516	678.584883296235	471.770833593484	452.50913512153	470.563004703655	737.809441335839	455.628797517824	484.968424396725	838.108617796451	535.876888738718	498.182447789039	598.902948239563
CREM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NFATC1	445.055709346988	413.862801312722	405.88420061642	435.17450694024	440.708091891975	435.777767876489	426.926327618919	350.295844495756	420.741740689462	406.96916711054	310.77500998888	457.405391792025	315.323296522661	328.044516469364	398.97233665682	405.73554391888	417.08371947264	401.450868213901	316.55691971432	442.676165569117	303.234667554242	401.1872573851	345.365520480269	448.098134018785	435.017377925707	432.562396305853	346.811434444722	412.096129226186	315.4719532202	290.374982041684	287.66112669475	311.038620817681	384.990715444181	312.418273648674	443.045241990488	388.470371243357	437.223681840942	276.580896999586	366.976617341235	355.944233951732	306.928150492999	430.735094182798	319.347997417988	323.450553916502	344.76225954402	317.86734703384	326.671472076421	355.685360224651	313.011407152808	418.456763865584	336.413108052875	334.891497353174	425.303744749394	366.760003446464	409.760244814207	336.514080222699
TP53I3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
