"ID"	"CE1"	"CE2"	"CE3"	"CE4"	"CE5"	"CE6"	"CE7"	"CE8"	"CE9"	"CE10"
"GSM3374363_non"	0.0450576435419527	0.0215711554681242	0.00543690649896928	0.0816918432979942	0.0868696827475666	0.149629237924625	0.00985648677470569	0.0695343263409435	0.140032414226059	0.39032030317906
"GSM3374364_non"	0.191029231887137	0.189401356692115	0.0378677972693803	0.170252496813329	0.133092766061451	0.0933249615646697	0.0546396660451181	0.117272139292732	0.000813064174110583	0.0123065201999564
"GSM3374365_non"	0.0218316589942926	0.180653485269842	0.0598426527454847	0.196813660370117	0.168043578807963	0.0565849016632155	3.33278685382011e-14	0.113561709618912	0.085883127921899	0.11678522460824
"GSM3374367_non"	0.135686211795576	0.162427809320289	0.0332653407591862	0.0152848490594767	0.10569018661792	0.00994492041985688	0.288088402629915	0.162266959058003	0.076872395481596	0.0104729248581805
"GSM3374371_non"	0.0644559835216135	0.148550224664509	0.0195036958765486	0.155736824921608	0.208900567067128	0.020392372185989	0.0782696994473183	0.199339403997236	0.0600445629946983	0.0448066653233514
"GSM3374372_non"	0.0525350807800508	0.14230838482392	0.0306852993960648	0.176093951827798	0.218381169440689	0.0395574282644799	0.0631455048381294	0.19864764668377	0.0452741330569123	0.0333714008881862
"GSM3374373_non"	0.0171260722792575	0.16029432646535	0.0168583385157832	0.19555812129154	0.221905491730919	0.0218854251875632	0.0607296786032165	0.239744849421327	0.0509122740523464	0.0149854224526969
"GSM3374374_non"	0.0419588446514232	0.153381549153391	0.0199045516424348	0.147071870256013	0.173467915518135	0.0144623759784102	0.0808429692096862	0.221582502002851	0.108327829353233	0.038999592234423
"GSM3374375_non"	0.0345058322244782	0.158817924905215	0.0221762580640661	0.204721649814187	0.125687662828876	0.0544079996722538	0.0252366852880144	0.114953843105773	0.0551039000060721	0.204388244091064
"GSM3374376_non"	0.11062563837245	0.150249085287345	0.0757738420536304	0.142145475724021	0.176746005205144	0.0376944294757776	0.0593830992624403	0.19228745546083	0.0425979299591478	0.0124970391992146
"GSM3374377_non"	0.0090027408594628	0.189104881101727	0.0301793552951155	0.204189810079992	0.220700278731556	0.0346374415231945	0.0212446064782616	0.205688712002204	0.0217513126914346	0.0635008612370514
"GSM3374378_non"	0.0686859660628568	0.155763471636324	0.0507463237591651	0.135778435236263	0.123996413593431	0.0565408681711144	0.0379738832429765	0.106657253638492	0.070575673274368	0.193281711385009
"GSM3374379_non"	0.126980712875874	0.212123391912215	0.0396395633941364	0.151581991770463	0.141834387912377	0.01802943744533	0.0849280734277333	0.161866612742025	0.0419729714112235	0.0210428571086233
"GSM3374380_non"	0.0741036935112953	0.148496575639528	0.122080662202905	0.136191324871605	0.108109031829586	0.0403675535411547	0.0266495746242311	0.0710152203503689	0.178433372289549	0.0945529911397769
"GSM3374381_non"	0.11730297036846	0.00659033147072326	1.4189529628627e-14	0.0308776619168398	0.0944030541232537	0.227843314772303	0.247221183825933	0.196520730036205	0.039287542373322	0.0399532111129471
"GSM3374382_non"	0.240544758464596	0.0613995342519062	0.025997538151923	0.0121849222927708	0.0247582716217402	0.199041984708574	0.233411726845817	0.0588470753516238	0.0636894654813633	0.0801247228296855
"GSM3374384_non"	0.0054181886303196	0.106784202852768	0.0254876365973758	0.138725976834475	0.102381735660225	0.020905854415798	0.260799075088612	0.253465483243444	0.060931747737277	0.0251000989397056
"GSM3374387_non"	0.069805315865546	0.108596640847699	0.03947572858871	0.0722161198863867	0.0396768922554201	0.0290006940756736	0.305769939143754	0.198599185467875	0.0855391643610501	0.0513203195078866
"GSM3374388_non"	0.44417991553675	0.0461388544625734	0.224497046197616	0.0116409810111126	0.00380720683303109	0.099042813377525	0.0619342963950094	0.0348240808078573	0.0650931689943415	0.00884163638418387
"GSM3374392_non"	0.0880557785121701	0.159755051869567	0.047266771224874	0.201177385154149	0.126661921058157	0.0236514126889653	0.140119047572517	0.163962952969638	0.0314053065881078	0.0179443723618551
"GSM3374394_non"	0.0369980235407345	0.0680541286739769	0.0053625778360116	0.143958388244161	0.10592797510413	0.225180254557375	0.117933294451624	0.143774426529218	0.0440189449090623	0.108791986153707
"GSM3374398_non"	0.0920951800049295	0.110785343058257	0.00731853658023386	0.0286371250150808	0.0575259872596677	0.0217465888390721	0.374884540671714	0.213705860047371	0.0551140435126612	0.0381867950110132
"GSM3374400_non"	0.0602722780410628	0.22722828149879	0.0602225370608858	0.153887857802548	0.0803361560276997	0.0395418401171025	0.166720047224769	0.127645744237593	0.0496476545489956	0.034497603440554
"GSM3374402_non"	0.103236718441458	0.196531278931716	0.036558981006028	0.15524773283922	0.0873617647294404	0.0487098010297387	0.0829065678538232	0.197998493688773	0.0877425315835313	0.0037061298962708
"GSM3374403_non"	0.0934400486542923	0.184355605248812	0.0515756238966945	0.115438860549132	0.115245163836033	0.0404368669961308	0.108090712738126	0.182216745356229	0.100328008205336	0.00887236451921413
"GSM3374404_non"	0.0355513487883123	0.00857401045217008	0.00312797929830485	0.0638937493966406	0.0912030037481393	0.077833926868779	0.217035988383093	0.297568894554757	0.0831736536946403	0.122037444815164
"GSM3374405_non"	0.173207301227649	0.014796699478205	0.044079265118065	0.0461004047889169	0.0732941670812658	0.207168583087301	0.0333191982920993	0.0840637668260339	0.0689749313221236	0.25499568277834
"GSM3374406_non"	0.0710915284389612	0.0058742368409512	0.0109055830306417	0.047320596949897	0.0835839037585393	0.280076288805291	0.0759847488349044	0.161484802298337	0.0515769399188205	0.212101371123657
"GSM3374407_non"	0.145368252808181	0.0044443350801208	0.01586874891436	0.0478904401068629	0.0592561524809542	0.146993767347602	0.099307381828855	0.133500404630335	0.120512608941852	0.226857907860878
"GSM3374408_non"	0.244703962262738	0.0760597474835033	0.242921159283981	0.0558398710160778	0.0454796492214273	0.153927968119533	0.0144984402073071	0.0170226859106044	0.0844011061327357	0.0651454103620933
"GSM3374409_non"	0.0305107641603874	0.119497345975406	0.0154159662817359	0.136335278228565	0.12154617406773	0.0253860321441557	0.0867293725567294	0.236530778714185	0.0680470187218604	0.160001269149244
"GSM3374410_non"	0.237494752970974	0.0766490013840654	0.0672445417179298	0.049294033142863	0.0618405552120576	0.102393056329371	0.0482175861781001	0.0958596352883382	0.09749325657147	0.163513581204832
"GSM3374411_non"	0.0592931463869431	0.0247781477632147	1.19485557748561e-14	0.0686703017417625	0.120013564729068	0.296466544996072	0.0639952279199114	0.140988610576409	0.0300720518475062	0.195722404039101
