"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"GSM3374364_non"	9.13441637344253e-15	0.11501235385873	0.105303129940511	0.0455894904386054	9.13441637344253e-15
"GSM3374365_non"	0.159733521217757	0.208750908805652	0.142824742551948	0.066045012342765	0.0991774588528538
"GSM3374367_non"	0.00308357376771052	0.0546923398961562	0.0160709304505255	0.106415332007831	1.26466102866358e-14
"GSM3374371_non"	0.0174270390602115	0.222109756823266	0.0558083765015136	0.146089344215169	0.0474161256571647
"GSM3374372_non"	0.0110150362911242	0.187912734888321	0.0421164663042097	0.202131534717354	0.012146705245079
"GSM3374373_non"	8.09130875956579e-15	0.149381792043344	3.7050187123729e-07	0.249631133946768	0.0319122055814486
"GSM3374374_non"	0.031448886042983	0.155798270988335	0.000712398142952564	0.214862375280484	0.0594169069035254
"GSM3374375_non"	0.304883448566273	0.135511416310177	0.0732477883188942	0.0514631476432465	0.143998407625732
"GSM3374376_non"	9.39818312207853e-15	0.196629381642075	0.0980874344548929	0.160799029925336	0.018928845320464
"GSM3374377_non"	0.0559622494029237	0.205134833979027	0.087431449963977	0.118029461287519	3.07959661975133e-10
"GSM3374378_non"	0.382124949225693	0.104805883959383	0.108703409685183	0.0788913585097755	0.109255204893471
"GSM3374379_non"	0.0187752588091593	0.0924120360374899	2.39892817204455e-08	0.101524544775985	0.0223921494572228
"GSM3374380_non"	0.206554947226251	0.138972591942102	0.0620107309108315	0.0239845113071943	0.219938079655531
"GSM3374381_non"	1.19948179831314e-14	0.0710705631437381	0.0683021046503762	0.127622861448574	0.0387452387717006
"GSM3374382_non"	0.0058071329173223	0.00496217169085823	0.0888395081876974	0.070177213611071	0.154856063267917
"GSM3374384_non"	0.0111172933918036	0.046555336801262	0.00525538570324806	0.237491918013741	9.95567113440747e-15
"GSM3374387_non"	1.81345408009807e-09	0.0330626590312862	1.21116133327092e-14	0.17736186723873	0.0779711615079386
"GSM3374388_non"	8.66607620933479e-15	0.00772301443133751	0.087337681804896	0.0500535208795991	0.112395081907762
"GSM3374392_non"	1.17795075912737e-14	0.0477517994067179	0.0332261250922507	0.121983461364992	0.00479894402755504
"GSM3374394_non"	0.104765942091779	0.099349506288001	0.0661820626414166	0.108753661112686	0.145284161751812
"GSM3374398_non"	0.0430085910414668	0.0149362250547766	1.24320987989201e-14	0.110585354698341	0.00784493513481185
"GSM3374400_non"	1.56770965174494e-14	0.0981769303346954	0.0649844970644458	0.208280255885456	4.12742439320221e-07
"GSM3374402_non"	0.00522809900074132	0.070460566855757	0.149768171174734	0.173598460008778	0.00362634507620879
"GSM3374403_non"	0.00626797936399073	0.155010498686243	0.0743949934987736	0.126677024346462	0.0296472051591958
"GSM3374404_non"	0.0720502303908151	0.0977825116717154	0.0498296200063856	0.126182559740151	0.241360117119411
"GSM3374405_non"	0.345745649940111	0.0759702691606976	0.136161185216424	0.0510948965572187	0.304214393423451
"GSM3374406_non"	0.24520080836794	0.102700579478976	0.2090248650366	0.103813889231597	0.228890990850637
"GSM3374407_non"	0.177709493892335	0.0637245610455138	0.119554109943477	0.0530016449849418	0.382975352078198
"GSM3374408_non"	0.0677833813514568	0.0605570364484012	0.380869207403143	0.000381255446182046	0.172815509508964
"GSM3374409_non"	0.320864327068738	0.16047386869987	0.0187485637707026	0.184262045326071	0.163947630153523
"GSM3374410_non"	0.221073343712883	0.0885178625198722	0.144889139426232	0.113050934139009	0.321727303318603
"GSM3374411_non"	0.278032576217663	0.138018713915512	0.196877632777786	0.094242331375939	0.155756097771735
