"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"GSM3374358_non"	0.0841897399318969	0.250000905697638	0.145002455377475	1.00094987045926e-14	0.0899014291471214	0.0859241197998177	0.0188402477408346	0.095225094914847
"GSM3374359_non"	0.132264811744167	0.0282746329604602	9.34123963617723e-15	0.0310727398621366	0.113663584591635	0.156085731553358	0.0130675777756185	0.0274881677715686
"GSM3374360_non"	0.071958112186039	0.0239315917126147	0.0513114233522107	0.0672524497808647	0.141531492037421	0.135547490045708	1.298702128619e-14	0.0996061178768744
"GSM3374361_non"	0.164346487890684	0.0209928460139562	0.0134980664498545	5.76971674273124e-15	0.0767499151291799	0.295980427030422	0.00759884551667202	0.0890161117154513
"GSM3374363_non"	0.0751759838380593	0.157824479474519	1.02947779544203e-14	0.00586106976454915	0.10243938600185	0.0943957617716052	0.253326118477141	0.0284392669393615
"GSM3374364_non"	0.0812667438307583	0.0614839078479836	0.0990321172519615	0.00335411563572256	0.137643903446066	0.101156180102398	1.22945557879941e-14	0.215087088810948
"GSM3374365_non"	0.149125705513169	0.0431297350718808	1.96589611497407e-12	7.42995869542085e-15	0.090326111576844	0.235859321195523	0.0493263238108937	0.118059538398286
"GSM3374367_non"	0.0022045394379173	1.26253749179172e-14	0.00655284220181475	0.0979302054402768	0.0200742922706842	0.0802256369582731	0.00272646631552544	0.118178681183614
"GSM3374371_non"	0.112643410531192	0.0106250611919634	0.038013210267456	0.0349770202639245	0.147225581125587	0.255828065202167	0.0148664618347265	0.114890329807147
"GSM3374372_non"	0.119027502518978	0.018672329168175	0.0617740175580491	0.0193724636264724	0.0710424056799705	0.293628490721205	0.0055505315656376	0.127594380804189
"GSM3374373_non"	0.130062830609694	0.0216518150225378	0.000512562717729694	0.0130705897353029	0.106906954150968	0.239334174905888	7.52859304482625e-07	0.0608528524598905
"GSM3374374_non"	0.0741158358066107	0.00455512458427501	0.0373085145153261	0.0445012473721545	0.202672342186058	0.160324141429196	5.97525488848856e-06	0.134424109005349
"GSM3374375_non"	0.0940165583822655	0.0466759052614471	0.00906487396401204	0.0158166934478135	0.115826641521711	0.155662727285639	0.0473117856738347	0.172339491111995
"GSM3374376_non"	0.126870463565931	2.36654910928384e-09	0.114431485060492	0.0331367401367654	0.121166824049798	0.273020120158877	0.00195227882810198	0.118689513094758
"GSM3374377_non"	0.111278072520207	0.0119123222749137	0.0034636492847587	7.5369821590616e-15	0.100925284040062	0.295776341176421	0.0101899754295959	0.108587649979546
"GSM3374378_non"	0.0961130018431776	0.0373094426709165	0.0224753479991456	0.00175548857551543	0.173862534612675	0.215489415974123	0.0834184060625686	0.159910205742078
"GSM3374379_non"	0.0612320492894978	0.00216880281153829	0.111686055398385	0.0194183069932416	0.0908526742040376	0.149464674584201	1.11388364271933e-14	0.193165300011373
"GSM3374380_non"	0.141326334679546	0.0034908044379963	0.0343400965767263	0.00658339642287562	0.100513603796359	0.244469952392204	0.128099326306658	0.163099360639827
"GSM3374381_non"	0.0109559865142163	0.0958067832470296	0.00258194627048749	0.221421315895026	0.0797940898763224	0.0156989048751422	0.0361196206574268	9.44542612837401e-15
"GSM3374382_non"	1.01129442335154e-14	0.131314263481998	0.0302802122152675	0.220593919809726	0.0177323992492818	0.00911675327581663	0.0401393997488201	0.0124682775210766
"GSM3374384_non"	0.0576799291544258	0.0141526810050145	1.25926368049831e-13	0.164041778535112	0.110717149529421	0.100159296959525	0.00963777132060446	0.0379805089956509
"GSM3374387_non"	0.0347770771553971	9.40973622745899e-15	0.00457126602970043	0.185803458229236	0.0887172736185266	0.0446171410339432	0.0246201737347674	0.099024889512352
"GSM3374388_non"	0.000559156123930784	0.109919071919738	0.390475531313069	0.090631104592472	0.0321191946979826	0.00669292477236291	0.117758471313615	0.0616424819474765
"GSM3374392_non"	0.0856706088732127	0.00592865601605824	0.0596735422535327	0.11210776313596	0.0268892683168454	0.160231635485905	1.26276644469802e-14	0.0603483201960094
"GSM3374394_non"	0.0461274306074613	0.0703886613321483	1.26323371179188e-14	0.101036485558473	0.0561775930284974	0.0468152656559829	0.0295913928800387	0.0147771773486305
"GSM3374398_non"	0.0061640716284133	9.56646849854607e-15	9.56646849854607e-15	0.143703887480656	0.0364390488330816	0.0289593454307062	0.000873163710733627	0.0421009682178501
"GSM3374400_non"	0.0777405941518131	0.0196885888346062	0.00149020705104992	0.0838499331983583	0.0368351275373119	0.114549579544711	0.0182396473000131	0.17123482240504
"GSM3374402_non"	0.0848696967112165	0.00399251763734289	0.0909271823849417	0.115385278139065	0.0651959161559637	0.149709489752423	1.36100718073283e-14	0.0858217213221041
"GSM3374403_non"	0.0582043453421173	0.00625149414945277	0.08298414939741	0.0994561246190167	0.048904227476877	0.0930845373592286	1.45336780647832e-14	0.109641836647574
"GSM3374404_non"	0.0127872148792068	0.0108228932721825	1.08170886874415e-14	0.163769382454482	0.0701934480520174	0.0342386747556479	0.0156593373840115	0.00815386336858562
"GSM3374405_non"	0.0420820829170271	0.192383534527745	0.128977305843637	0.0692545504581678	0.0503433221766932	0.0598313495446862	0.155542930924098	0.0385038262316666
"GSM3374406_non"	0.019683816851612	0.166455408935895	0.00403766475316489	0.118346168520711	0.108286428041213	0.061947933033687	0.084942427886967	1.40632129160059e-06
"GSM3374407_non"	0.033643676030128	0.0940295795613748	0.0649659629051233	0.123639724078204	0.0478665676007049	0.0396342985893872	0.111022714891794	1.32924865009247e-14
"GSM3374408_non"	0.0438994704956494	0.164445517214196	0.207306094417337	0.00660791354610713	0.00951657624379561	0.0943567056242134	0.195201361519691	0.117775931536209
"GSM3374409_non"	0.0815497462732474	7.28813695167829e-06	0.00680974399617537	0.0569952463682595	0.100841147551409	0.169252533013128	0.0371297445035511	0.0708709591177924
"GSM3374410_non"	0.029268633216032	0.0687960184591899	0.154701481216232	0.0435543394015988	0.0938827957227754	0.0847472800290464	0.127351057061778	0.13160766322623
"GSM3374411_non"	0.042900482479329	0.247630574928699	1.91200338333567e-11	0.104704595846541	0.105343785770273	0.0796986689237566	0.0497420758168708	0.0106226438324701
