"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"GSM3374394_non"	0.0189679237947867	0.239202024942546	0.0292841214273951	0.0600283955438094	0.0525940134779643
"GSM3374398_non"	0.0125734584341279	1.4027192463662e-14	0.0109906922721222	1.4027192463662e-14	0.0393320076730686
"GSM3374400_non"	0.0913403474864608	2.82100098499931e-09	0.0289190086319696	0.0800326161195252	0.0513550769782401
"GSM3374402_non"	0.0612178646043534	6.18493266319084e-05	0.0406934763125228	0.0029855787365113	0.016155929115717
"GSM3374403_non"	0.114903455806348	0.00863544678002711	0.0406182232544408	1.40642507995101e-14	0.0351470224506479
"GSM3374404_non"	0.069486861350344	0.10189052682171	1.3816762766976e-14	0.0361577088091449	0.0396847048831941
"GSM3374405_non"	0.122410643379172	0.115449051756091	0.239076729474908	0.0544339608241853	0.0713634799620768
"GSM3374406_non"	0.0471449394607691	0.192701799403996	0.0891131479255113	0.0341990111365933	0.0670716760506549
"GSM3374407_non"	0.161413596327475	0.136347876013015	0.105412120929045	0.0122035773675685	0.0381500608149329
"GSM3374408_non"	0.123174489950031	0.128172842264451	0.359358880023935	0.0306793386990202	0.0473570454446069
"GSM3374409_non"	0.026811466186646	0.00684623196596306	0.0126354852223774	0.0916920661082303	0.0305325787665991
"GSM3374410_non"	0.0828171021349152	0.0183274445584942	0.334823890565577	1.05280381033454e-06	0.064753421102205
"GSM3374411_non"	0.0360481669548844	0.160248143301705	0.122710846043168	0.0185157028314379	0.0983072539794946
