GeneSymbol	GSM3374350_response	GSM3374352_response	GSM3374356_response	GSM3374362_response	GSM3374366_response	GSM3374368_response	GSM3374369_response	GSM3374370_response	GSM3374386_response	GSM3374396_response	GSM3374401_response	GSM3374412_response	GSM3374413_response	GSM3374414_response	GSM3374415_response	GSM3374353_non	GSM3374354_non	GSM3374355_non	GSM3374357_non	GSM3374358_non	GSM3374359_non	GSM3374360_non	GSM3374361_non	GSM3374363_non	GSM3374364_non	GSM3374365_non	GSM3374367_non	GSM3374371_non	GSM3374372_non	GSM3374373_non	GSM3374374_non	GSM3374375_non	GSM3374376_non	GSM3374377_non	GSM3374378_non	GSM3374379_non	GSM3374380_non	GSM3374381_non	GSM3374382_non	GSM3374384_non	GSM3374387_non	GSM3374388_non	GSM3374392_non	GSM3374394_non	GSM3374398_non	GSM3374400_non	GSM3374402_non	GSM3374403_non	GSM3374404_non	GSM3374405_non	GSM3374406_non	GSM3374407_non	GSM3374408_non	GSM3374409_non	GSM3374410_non	GSM3374411_non
UPP1	154.961578218373	167.859418992227	162.046203840551	124.530900287888	87.9009066575546	120.457436342927	128.976230273028	132.188277649048	164.470683247977	145.068738850682	144.093494987957	79.9401804380213	72.8981966485941	129.789966617873	152.754724782329	137.754104967433	155.005495366549	131.814044484833	56.0709994717334	137.888640123053	134.694928602953	136.182145141478	64.9263182730959	74.0337523472699	148.084690987338	136.948108648526	56.4075243429954	50.6050226481166	148.447699945868	150.770764198896	78.6095601406551	73.8387281231208	86.5829312172002	162.345180682284	78.6757124027849	143.990092437953	142.725624402717	70.5372728135627	120.120911471666	80.9922892747938	98.2952686823516	184.042998377629	36.2188837888517	80.0435829880252	60.4809882879564	80.4940677838954	72.1322331415459	65.7400546179405	39.7595949923626	29.6642098092983	78.7494873186714	129.90155854475	162.295314625777	73.7041929675012	88.7048127823972	84.3977879459355
PLEK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LOXL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IFIT5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMOX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PRKAR2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ST3GAL4	310.59562029651	380.606851928184	300.571800755172	180.651771377833	336.184011128365	316.934726655457	315.584357533559	414.235589534937	336.232928295118	351.09683188454	357.661807730352	143.815365337008	162.972136635124	106.486836433436	150.770501924152	305.61732421115	140.746682382815	347.256780772878	324.63685949271	382.838120855308	371.504630377349	288.667198066747	103.247436662156	322.797255007482	207.818454720391	387.839479291799	209.738173001209	295.191190895576	299.475837177288	253.61156391279	140.410151850706	173.788849856617	135.366072523218	128.842079694389	256.184914011919	248.145364731026	176.358892756007	164.811741120352	339.076116756639	300.235270223064	94.5853527902216	139.65071880493	114.972145110092	333.613968228975	122.755905882699	235.100888139675	118.006728924906	121.948983965421	199.933797384117	145.792205838793	157.109608283099	155.759239161201	303.640483709366	98.8293142452949	125.183914220061	179.250998384281
IGFBP6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYBB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
VASH1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KDELR3	1205.84791762484	1378.11778079315	1110.40540277436	1253.15716022271	732.957475642914	1186.39221758376	1133.52419427246	1390.25315786495	1333.01596639831	1167.9459737225	1218.95318060365	1310.36681536306	280.811514945356	563.044387213854	594.03008433805	1158.26484154419	1222.09742508586	640.37427528587	1128.51802955282	1387.97598197759	1071.25313149552	837.347153080782	423.534992046601	630.951001211513	528.595867455812	1330.56581881288	656.623782746893	620.918575244798	706.780645279807	544.931760435396	428.438769284518	592.791199205225	403.935434348534	1307.6832493608	568.050551933497	505.779489156557	768.042456741891	558.468052654253	1269.54263862491	860.571728161123	602.47233138353	802.706908404889	416.371264412266	1196.42464355048	1546.81841640765	1094.06950979478	396.075700495979	511.350683416926	1123.94169499322	711.732856602833	677.584521669822	687.683517883748	1272.25428761877	415.871131729716	267.691609045932	653.479538264689
MAOB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
QPRT	569.707827869875	525.870740368861	570.603617253317	583.454600387367	523.778179625535	543.558123502257	555.448566115861	580.237534262989	535.935913496006	519.49116787992	528.660316459029	554.31453632919	543.992616118669	600.214900131806	548.908274511346	564.79864026134	546.500445283281	522.140699979577	542.790490035023	521.360754211506	557.657307928007	522.63804251394	605.05314228567	554.439240071483	555.808437089341	586.405698869147	554.103241019419	676.45498026759	566.325065461241	552.957780441694	562.684986828594	556.588382857411	636.584069585878	519.655558141585	583.35595738918	544.542208213532	607.58036305468	552.975141877495	553.938850757755	610.425287685315	662.717582276696	552.019203793419	558.22586250337	557.085725391775	602.633695466809	652.349966143036	528.23730395076	518.51009756386	589.896248993696	523.209625050172	530.350957383505	518.52745899966	536.155934375483	541.590399857653	577.238172912858	554.617699816682
CCL4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TYROBP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COL7A1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCH1	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339	642.428613484339
