GeneSymbol	GSM3374350_response	GSM3374352_response	GSM3374356_response	GSM3374362_response	GSM3374366_response	GSM3374368_response	GSM3374369_response	GSM3374370_response	GSM3374386_response	GSM3374396_response	GSM3374401_response	GSM3374412_response	GSM3374413_response	GSM3374414_response	GSM3374415_response	GSM3374353_non	GSM3374354_non	GSM3374355_non	GSM3374357_non	GSM3374358_non	GSM3374359_non	GSM3374360_non	GSM3374361_non	GSM3374363_non	GSM3374364_non	GSM3374365_non	GSM3374367_non	GSM3374371_non	GSM3374372_non	GSM3374373_non	GSM3374374_non	GSM3374375_non	GSM3374376_non	GSM3374377_non	GSM3374378_non	GSM3374379_non	GSM3374380_non	GSM3374381_non	GSM3374382_non	GSM3374384_non	GSM3374387_non	GSM3374388_non	GSM3374392_non	GSM3374394_non	GSM3374398_non	GSM3374400_non	GSM3374402_non	GSM3374403_non	GSM3374404_non	GSM3374405_non	GSM3374406_non	GSM3374407_non	GSM3374408_non	GSM3374409_non	GSM3374410_non	GSM3374411_non
TUBB6	4069.8727512556	3541.71928806307	3553.53222338684	3705.35733925364	3938.91099816185	3954.03938201753	4321.34653242003	2653.79676531942	3942.79388538659	3746.96033956601	3715.72465907737	4373.77893323324	3972.27713617268	3295.0061295241	3256.0967330093	3103.05547092826	4172.16213104403	4093.04959019319	2720.50152229556	4154.81716546081	2590.38923775382	3768.03318017722	2844.34724192853	3647.06265305772	3838.17195456906	3357.31543230879	3221.49368988424	3003.15778441997	3571.92217590903	2682.21852700047	2915.21951769408	3328.37226753493	3865.39855852198	2796.03229381054	4138.65879795215	3461.0177316769	3900.00160164705	3061.45247061589	3852.94507607227	2837.6642155153	2897.81441942532	3970.02826427597	3494.7539293144	3194.26708593131	2720.37764258219	3642.07102921636	3425.96788261785	3507.23433875575	2678.54056893316	3559.12438633183	3209.04020743452	3310.13451337978	4151.16685111404	2909.62735474909	4244.24880622783	3662.70767099112
AZGP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IFI35	466.953304547668	462.656397401778	426.698473576924	463.232761205588	514.816445955422	466.105391393503	484.040921795777	606.659957523291	605.909501110372	550.120414057613	469.374276353043	605.30128799639	516.537943423518	512.724379422902	603.728650835833	461.573673532198	511.72427624343	464.191490944975	590.554479981213	515.184183366159	552.815299615775	601.924918071773	606.526513553105	516.234077704865	553.118881958933	488.948850086341	512.249494666265	500.879056575705	517.739058150989	551.308001847667	517.789634753252	607.315579856741	556.391451934363	589.935109348869	500.259685943362	489.624061875836	484.205293118557	605.956435392619	573.716345201284	516.851090147597	604.859606771667	599.541006492377	606.049320387939	599.079030096831	559.049699758551	539.531745039335	606.1082252979	607.465058158759	607.414481556496	593.249244619989	604.491869360929	602.39980282841	575.146975992865	579.299485281344	578.624273491849	606.213366829025
RGL1	398.365351699485	217.577335052758	234.554384013529	682.071278895615	291.169623629217	287.850605000758	447.197255514712	663.043328837808	215.491541602539	279.216328926576	405.11362916397	477.784399555177	215.226179616039	298.531814401146	452.30927153053	283.916440921554	283.41903063499	203.519314107638	665.252397371397	513.181038000075	628.127359064571	618.695402530305	628.977047828543	528.293821766231	622.903409034155	680.735114241574	560.176366296285	388.93339516522	483.546331356578	548.197814697981	695.817640166598	731.864434933476	508.978336291661	737.741811629302	433.927927215479	546.452759615428	332.493828278016	424.163471117834	450.973106876489	641.518431536628	501.465555270938	202.882441810186	672.926959637506	520.931630994302	653.925478482919	539.014874170109	636.441541339169	555.661219110101	544.670400506108	406.679533974083	330.4143589312	314.908393141022	194.282289050696	707.546406920262	411.756424171543	325.899211745016
SLC19A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFAP5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C3AR1	1436.06174675629	1476.44651198304	1413.12246403274	1507.30697874955	1461.02956746247	1471.91548794182	1390.19346011806	1494.13995684893	1367.97889008219	1519.89212145378	1523.89389483581	1478.05304235146	1490.28519876858	1480.44562616193	1575.2862999898	1385.57955991299	1410.46070077549	1371.30061128211	1526.09507423667	1526.97572081467	1532.00448078514	1534.51690214715	1493.29446503791	1463.92692779462	1572.38596915601	1504.46262501107	1509.76778027898	1481.90259924065	1481.57919827816	1565.43700712952	1437.40227407485	1506.87041994682	1382.63268727674	1572.81657329903	1438.49859572006	1486.16362830079	1529.44544750544	1447.45361255355	1470.75510018396	1516.59595266832	1488.67604966279	1389.89749330944	1515.50001332246	1536.12605125294	1481.84674325001	1479.56977172361	1505.72327118024	1525.41062420797	1502.93633023175	1469.6591608381	1553.14783123391	1613.09413534525	1379.00066301972	1450.39214298835	1517.75634042618	1475.93628835586
CREM	1821.04718567319	1834.71911933107	1831.40753866543	1549.08961236224	1810.90120554915	1816.21081129041	1637.70517795585	1510.8790320682	2014.85371638681	1616.41379223882	1569.26719505904	1850.35106143685	1807.45351943719	1591.00158670832	1559.71167443443	1528.48282674795	1782.41778216263	1827.57598919224	1507.46536708708	1549.56569431039	1492.1826939093	1559.18381230317	1535.21287805581	1529.41485726263	1557.08717329377	1610.14404428887	1836.41805184412	1857.53642671745	1533.96595444734	1566.24047795348	1520.19003534767	1596.20091547869	1561.52353327377	1528.30898056597	1821.98933516608	1818.42268453253	1820.51932354193	1626.24771355143	1804.16270635362	1830.6027062978	1852.62140093488	1848.67125187026	1560.65382392732	1546.11800819843	1787.80456981337	1570.07202742667	1789.81833798671	1535.91165797115	1538.60198216903	1795.3014656861	1575.20667350695	1575.08254060536	1781.96449603213	1514.99099756666	1836.54218474571	1526.46905857461
NFATC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
