"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"GSM3374392_non"	0.0178877394740864	0.0731331191154242	5.36506777604733e-11	0.21138312059158	0.194136771587914
"GSM3374394_non"	0.164692583630796	0.0873794646042487	0.0482918015000326	0.155585905789171	0.151007890467465
"GSM3374398_non"	0.00164083867369802	0.0692431699519872	1.13031580097453e-14	0.195988649708114	0.0259962637387747
"GSM3374400_non"	0.0115742434269127	0.114828883049263	0.0401850518769507	0.199755585295821	0.246107279764384
"GSM3374402_non"	0.0420255209345037	0.157809520632701	0.031890867188799	0.200237869856027	0.243950896592416
"GSM3374403_non"	0.0338821699384322	0.146661700783943	0.0146619202876123	0.251131902782352	0.179082963754517
"GSM3374404_non"	0.0734679033609375	0.0238522747599903	0.0385784658112822	0.276568195475526	0.069402661199693
"GSM3374405_non"	0.264857313751211	0.346526346116721	0.182180219441554	0.0503332069802541	0.0830420453371566
"GSM3374406_non"	0.251984340391006	0.221917059624025	0.134617643461069	0.132644367622685	0.0980043662110111
"GSM3374407_non"	0.134610856234429	0.369166486840252	0.0803428653320823	0.0968269956077457	0.0883932989466067
"GSM3374408_non"	0.174547563529763	0.391484021722895	0.259740170853128	0.0127334130271017	0.145828473057888
"GSM3374409_non"	0.0109422524807559	0.00750021835127061	0.0750407417023473	0.305123580733862	0.205868623199611
"GSM3374410_non"	0.0214867022990268	0.40220432894575	0.189657756287381	0.118110349985694	0.125320028772479
"GSM3374411_non"	0.417760388140309	0.113293796383432	0.0782304421981684	0.201879328138798	0.107427259788453
