"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"GSM3374355_non"	0.0403640701604132	0.0818626362253914	0.017554320226647	0.126436857731987	0.125242262444386	0.0418031463136884	0.0191645351764658
"GSM3374357_non"	0.0308986295195952	9.06117929017171e-15	0.0720857076231665	9.06117929017171e-15	0.0713025434576997	0.0286361962485431	0.0577526326123455
"GSM3374358_non"	0.0438589638493648	9.45796559063398e-15	0.0699020217127802	0.124340666775868	0.108501923834454	0.0025943952217761	0.0271819138531802
"GSM3374359_non"	0.00809068363986802	0.033890427093002	0.0737486294276889	0.0186797602381713	0.0913694255173444	0.0146618347786021	0.0374384211459978
"GSM3374360_non"	0.00788220711319308	0.0046256829427034	0.0673093011064938	0.0462273000257947	0.0440706981229176	0.125440854832322	0.0308828585957397
"GSM3374361_non"	0.058392107845595	0.0548084910149485	0.105865426630865	5.74833867640165e-15	0.140329479933296	0.00816656008846539	0.0456921699858465
"GSM3374363_non"	0.119461176474878	0.343270387008954	0.0114647845486744	0.0196885683640483	0.0561529406307388	0.00912635362544312	0.0248680369837699
"GSM3374364_non"	1.12501050052435e-14	0.0303373179515402	0.0519474127235332	0.00706847964858588	0.0558478412682948	0.0497982283512289	0.0298080108317788
"GSM3374365_non"	0.0608008566120294	0.0687512801595872	0.090798605864369	0.0230699589332697	0.0939075102402041	6.94438126199005e-15	0.0979636614489014
"GSM3374367_non"	0.0246603387487855	0.014269418215662	0.0384115984615333	1.33770980416597e-14	0.0532473381172163	0.154461277866795	0.041110239893129
"GSM3374371_non"	0.064352470699261	0.086469123406842	0.0753332776609908	9.90970530901336e-15	0.0604538722235475	0.0400117294932541	0.0589325008074699
"GSM3374372_non"	0.0259205065690634	0.00501519227771277	0.113989778461143	0.0058156212880617	0.0758500648890216	0.0687755172402509	0.141494120613997
"GSM3374373_non"	0.00915620244511841	0.0174341607910343	0.111063827177384	7.7811106629547e-15	0.0723924201671438	0.0327220925246585	0.0934776594260719
"GSM3374374_non"	0.0564683818743931	0.0365131849061196	0.0865217709881889	1.24525002666941e-14	0.0742075738136863	0.0437989991531641	0.111779158533069
"GSM3374375_non"	0.0183428724772958	0.119018754352415	0.169578420402258	5.4610693894645e-09	0.0467014508957648	0.0139408115364786	0.00573275548040829
"GSM3374376_non"	0.0533112955299563	0.00814633554103669	0.0305605582361376	0.0133699653472051	0.0587420115025608	0.0868388984145523	0.137756641454593
"GSM3374377_non"	0.0333240938311851	0.0239324726285329	0.103674377623141	3.61948208448329e-08	0.089908537486131	0.000716174464405684	0.0931432587381366
"GSM3374378_non"	0.0738557481789603	0.145859887121129	0.107581375158721	9.25836227804529e-15	0.100340510024069	0.0445866701072777	0.0263361978506298
"GSM3374379_non"	0.0136977325388945	0.0308445927761732	0.0315345730025299	1.03026853055822e-14	0.0516498329211232	0.0737869734585639	0.0436809391700493
"GSM3374380_non"	0.139655945037087	0.0735349686649803	0.0862696240177873	0.0196014006170249	0.0487193017791887	0.00859283609432189	0.0401658383005212
"GSM3374381_non"	0.0445949721106862	0.0356896314833683	1.10823328257249e-14	0.0413415194208799	0.0207970022484391	0.174714390777749	0.0508256272367864
"GSM3374382_non"	0.0196622279598339	0.0897124652778869	1.18955111204606e-05	0.0905969802382691	0.0230922712535116	0.162342968059656	0.0124413522891593
"GSM3374384_non"	8.24022789723663e-15	0.0618305741131544	0.122824422161116	8.24022789723663e-15	0.0145313833177619	0.135063481958576	0.0209338629688202
"GSM3374387_non"	0.0253166553493609	0.0170340749762592	0.111791655598618	0.0346250626346787	0.0215533281247636	0.186419337753178	0.00951098178441853
"GSM3374388_non"	0.0137744182538435	0.0033350796693406	0.0272214833658653	0.169555518691275	0.00427564801558892	0.0876992011942053	0.0237651103899523
"GSM3374392_non"	0.0224892928431053	1.03444383420317e-14	0.0603004797114183	0.000337244422428635	0.0253238638531808	0.0428850209819565	1.03444383420317e-14
"GSM3374394_non"	0.0153133382993047	0.0605086982581725	0.0347623180329741	0.0823207279231123	0.0873975754455812	0.0557236460139415	1.34003061752056e-14
"GSM3374398_non"	0.0254513962002594	1.09099558661595e-14	0.0690081159811909	0.0249380405633887	0.020130557292248	0.158709160665225	0.080571540223165
"GSM3374400_non"	0.0286844957245732	0.0147109027441187	0.129053619036975	0.00505889664942131	0.040409718128544	0.103550821129836	0.0388078683464435
"GSM3374402_non"	0.0317190147358855	1.05418140958208e-14	0.0476460972649644	0.013784768318325	0.0468888860741501	0.0660704858150076	0.0867750426560763
"GSM3374403_non"	0.0438489022033333	1.29863064312235e-14	0.0334795362178595	0.00974580385167826	0.0345815427801029	0.0941459575432383	0.0693905452691242
"GSM3374404_non"	0.0352938886193098	0.059023537381559	1.24619606982714e-14	0.00523495451374939	0.0413891405472724	0.114120152074301	0.233310882740259
"GSM3374405_non"	0.0490156390648834	0.233454848205554	1.09280999961949e-14	0.115965511869742	0.0257851070145625	0.0510258227425858	0.071607249438367
"GSM3374406_non"	0.0473351314494191	0.12066954757467	1.20451876321921e-14	0.164173396020451	0.0462948318476173	0.0650574293070049	0.0883363580704352
"GSM3374407_non"	0.0994009140919527	0.225983086470336	0.00357878522846238	0.0649559156527649	0.0215714985759062	0.0641806039273296	0.141430451856024
"GSM3374408_non"	0.058383063320681	0.101296206129991	0.0430272792525307	0.207553444756566	0.0499818723841289	8.80679310267218e-15	0.0223690279192054
"GSM3374409_non"	0.0343364041877164	0.104417932119605	0.00579708653326249	0.0438473176958963	0.0154631876227299	0.0855832559348823	0.209803363623709
"GSM3374410_non"	0.0448354724727161	0.175730841436976	0.0279588422535912	0.0967222274041297	0.0178283118986635	0.0413433807861911	0.100860961658759
"GSM3374411_non"	0.0207341695341663	0.106617326916321	1.1196041021198e-14	0.121745617299351	0.139527036122167	0.0673844283358418	0.0472762969445236
